time_fs,mu_true,mu_pred,mm_true,mm_pred,q0_true,q0_pred,q1_true,q1_pred,q2_true,q2_pred,q3_true,q3_pred
2.515999984741210938e+01,2.434777170419692993e-01,2.429682612419128418e-01,2.489777980372309685e-04,2.732065040618181229e-04,-3.638117050286382437e-04,-3.635018074419349432e-04,1.077804481610655785e-03,2.921116829384118319e-04,-2.372096350882202387e-04,4.963912651874125004e-04,-4.767830832861363888e-04,-4.788274818565696478e-04
2.518000030517578125e+01,2.420384883880615234e-01,2.413198500871658325e-01,2.816113992594182491e-04,3.027735801879316568e-04,-3.264872357249259949e-04,-2.996491966769099236e-04,1.052268547937273979e-03,2.392929600318893790e-04,-3.044795012101531029e-04,4.514054744504392147e-04,-4.213018401060253382e-04,-4.469790728762745857e-04
2.520000076293945312e+01,2.405455857515335083e-01,2.395875006914138794e-01,3.085728385485708714e-04,3.260447119828313589e-04,-2.823397226165980101e-04,-2.276740851812064648e-04,1.018555136397480965e-03,1.776408171281218529e-04,-3.771366900764405727e-04,3.987302188761532307e-04,-3.590787819121032953e-04,-4.079187347088009119e-04
2.521999931335449219e+01,2.390295267105102539e-01,2.378046214580535889e-01,3.291255852673202753e-04,3.425186732783913612e-04,-2.317754260729998350e-04,-1.492801093263551593e-04,9.763748385012149811e-04,1.084745235857553780e-04,-4.540789523161947727e-04,3.397687105461955070e-04,-2.905204892158508301e-04,-3.624157980084419250e-04
2.523999977111816406e+01,2.375211417675018311e-01,2.360080033540725708e-01,3.426176845096051693e-04,3.518518351484090090e-04,-1.756724086590111256e-04,-6.640877836616709828e-05,9.257694473490118980e-04,3.308179293526336551e-05,-5.339230992831289768e-04,2.759161288850009441e-04,-2.161739248549565673e-04,-3.113906132057309151e-04
2.526000022888183594e+01,2.360510975122451782e-01,2.342370897531509399e-01,3.486590285319834948e-04,3.538676828611642122e-04,-1.153703487943857908e-04,1.896924368338659406e-05,8.672514813952147961e-04,-4.698753764387220144e-05,-6.149916443973779678e-04,2.086985623463988304e-04,-1.368895027553662658e-04,-2.559229033067822456e-04
2.528000068664550781e+01,2.346497327089309692e-01,2.325326502323150635e-01,3.470861120149493217e-04,3.485486085992306471e-04,-5.262417471385560930e-05,1.049793718266300857e-04,8.019364322535693645e-04,-1.298071292694658041e-04,-6.952842813916504383e-04,1.398504246026277542e-04,-5.402797251008450985e-05,-1.971338788280263543e-04
2.529999923706054688e+01,2.333466857671737671e-01,2.309355437755584717e-01,3.377961693331599236e-04,3.360172559041529894e-04,1.059391888702521101e-05,1.897652691695839167e-04,7.315533584915101528e-04,-2.133038797182962298e-04,-7.726147305220365524e-04,7.088672282407060266e-05,3.046749043278396130e-05,-1.361793692922219634e-04
2.531999969482421875e+01,2.321694046258926392e-01,2.294849902391433716e-01,3.209417918696999550e-04,3.165171656291931868e-04,7.242500578286126256e-05,2.715128066483885050e-04,6.581920897588133812e-04,-2.953050134237855673e-04,-8.448866428807377815e-04,3.399749175514443778e-06,1.142695473390631378e-04,-7.417522283503785729e-05
2.534000015258789062e+01,2.311420142650604248e-01,2.282169759273529053e-01,2.971029316540807486e-04,2.904025895986706018e-04,1.313541724812239408e-04,3.484137705527245998e-04,5.839667282998561859e-04,-3.738326486200094223e-04,-9.103146148845553398e-04,-6.110769027145579457e-05,1.949937286553904414e-04,-1.223338040290400386e-05
2.536000061035156250e+01,2.302848249673843384e-01,2.271624207496643066e-01,2.668783417902886868e-04,2.581409062258899212e-04,1.862258068285882473e-04,4.187737358734011650e-04,5.108814220875501633e-04,-4.471171123441308737e-04,-9.675435721874237061e-04,-1.213208743138238788e-04,2.704363141674548388e-04,4.851052290177904069e-05
2.537999916076660156e+01,2.296138554811477661e-01,2.263457030057907104e-01,2.306947426404803991e-04,2.203271724283695221e-04,2.360883372602984309e-04,4.811708058696240187e-04,4.408788518048822880e-04,-5.136785912327468395e-04,-1.015646266750991344e-03,-1.760378072503954172e-04,3.386790049262344837e-04,1.068937417585402727e-04
2.539999961853027344e+01,2.291408032178878784e-01,2.257836014032363892e-01,1.892003201646730304e-04,1.777028519427403808e-04,2.799360954668372869e-04,5.344177479855716228e-04,3.758750972338020802e-04,-5.722850328311324120e-04,-1.053920597769320011e-03,-2.242201007902622223e-04,3.981094632763415575e-04,1.617431989870965481e-04
2.542000007629394531e+01,2.288733869791030884e-01,2.254851311445236206e-01,1.432869321433827281e-04,1.311658852500841022e-04,3.165180678479373455e-04,5.775320460088551044e-04,3.176801837980747223e-04,-6.219687638804316521e-04,-1.081604859791696072e-03,-2.650072856340557337e-04,4.474065499380230904e-04,2.119603741448372602e-04
2.544000053405761719e+01,2.288154661655426025e-01,2.254519164562225342e-01,9.385011799167841673e-05,8.176044502761214972e-05,3.443975001573562622e-04,6.097186123952269554e-04,2.677858283277601004e-04,-6.620155181735754013e-04,-1.097754458896815777e-03,-2.976951655000448227e-04,4.855711304116994143e-04,2.565096947364509106e-04
2.545999908447265625e+01,2.289675623178482056e-01,2.256793230772018433e-01,4.194861685391515493e-05,3.064056727453134954e-05,3.621913783717900515e-04,6.304455455392599106e-04,2.271070989081636071e-04,-6.918322760611772537e-04,-1.101326313801109791e-03,-3.216809418518096209e-04,5.120278801769018173e-04,2.944657462649047375e-04
2.547999954223632812e+01,2.293271720409393311e-01,2.261575460433959961e-01,-1.112872269004583359e-05,-2.098652112181298435e-05,3.687861026264727116e-04,6.393649382516741753e-04,1.958906213985756040e-04,-7.108715362846851349e-04,-1.091365120373666286e-03,-3.365660668350756168e-04,5.266883526928722858e-04,3.249764267820864916e-04
2.550000000000000000e+01,2.298881858587265015e-01,2.268726974725723267e-01,-6.414746894733980298e-05,-7.192176417447626591e-05,3.634790191426873207e-04,6.363235879689455032e-04,1.738804421620443463e-04,-7.186110597103834152e-04,-1.067236065864562988e-03,-3.420896246097981930e-04,5.298766191117465496e-04,3.472492389846593142e-04
2.552000045776367188e+01,2.306399494409561157e-01,2.278076112270355225e-01,-1.159940729849040508e-04,-1.210226109833456576e-04,3.460693114902824163e-04,6.214649765752255917e-04,1.605784200364723802e-04,-7.146765128709375858e-04,-1.028810511343181133e-03,-3.381588903721421957e-04,5.221627652645111084e-04,3.606315585784614086e-04
2.554000091552734375e+01,2.315669208765029907e-01,2.289421856403350830e-01,-1.654377410886809230e-04,-1.672299986239522696e-04,3.168806142639368773e-04,5.951847415417432785e-04,1.554056652821600437e-04,-6.990116671659052372e-04,-9.764901478774845600e-04,-3.248987195547670126e-04,5.042038392275571823e-04,3.646353725343942642e-04
2.555999946594238281e+01,2.326491028070449829e-01,2.302534580230712891e-01,-2.111626090481877327e-04,-2.095768286380916834e-04,2.767363330349326134e-04,5.581821314990520477e-04,1.577280636411160231e-04,-6.719615194015204906e-04,-9.110931423492729664e-04,-3.025522455573081970e-04,4.766287165693938732e-04,3.590361739043146372e-04
2.557999992370605469e+01,2.338627874851226807e-01,2.317155003547668457e-01,-2.521480782888829708e-04,-2.471906191203743219e-04,2.268887328682467341e-04,5.113994120620191097e-04,1.668237964622676373e-04,-6.342385895550251007e-04,-8.336784085258841515e-04,-2.715035225264728069e-04,4.399658646434545517e-04,3.439160645939409733e-04
2.560000038146972656e+01,2.351814657449722290e-01,2.332990467548370361e-01,-2.877232618629932404e-04,-2.793009043671190739e-04,1.688435004325583577e-04,4.559590888675302267e-04,1.818947930587455630e-04,-5.868278094567358494e-04,-7.453591097146272659e-04,-2.323059743503108621e-04,3.946208162233233452e-04,3.196895704604685307e-04
2.562000083923339844e+01,2.365770936012268066e-01,2.349715083837509155e-01,-3.173019213136285543e-04,-3.052555548492819071e-04,1.041531431837938726e-04,3.931659448426216841e-04,2.021389664150774479e-04,-5.308544496074318886e-04,-6.472106906585395336e-04,-1.857239549281075597e-04,3.409185737837105989e-04,2.870562020689249039e-04
2.563999938964843750e+01,2.380213886499404907e-01,2.366972863674163818e-01,-3.403883019927889109e-04,-3.245435946155339479e-04,3.433870733715593815e-05,3.244858526159077883e-04,2.267979289172217250e-04,-4.675121454056352377e-04,-5.403402610681951046e-04,-1.327925565419718623e-04,2.792035811580717564e-04,2.469031023792922497e-04
2.565999984741210938e+01,2.394866198301315308e-01,2.384386360645294189e-01,-3.565946535672992468e-04,-3.368131874594837427e-04,-3.909523729817010462e-05,2.514758089091628790e-04,2.551366924308240414e-04,-3.980555047746747732e-04,-4.259958514012396336e-04,-7.483189256163313985e-05,2.099543926306068897e-04,2.002181281568482518e-04
2.568000030517578125e+01,2.409456819295883179e-01,2.401570677757263184e-01,-3.654276952147483826e-04,-3.418781561776995659e-04,-1.146757203969173133e-04,1.757004065439105034e-04,2.863770932890474796e-04,-3.238049102947115898e-04,-3.055832930840551853e-04,-1.336766945314593613e-05,1.338818983640521765e-04,1.479779748478904366e-04
