epoch,loss,l_q,l_mu,l_mm,l_q_base,l_mu_base,l_mm_base,tf_prob,val_loss,val_internal,val_boundary,val_n_anchor,val_start_fs,val_end_fs,es_gate
1888,4.2024006843566895,0.08857729285955429,8.20113754272461,0.02650953084230423,0.07907679677009583,8.20113754272461,0.02650953084230423,0.0,0.6481651878045817,0.112201107845188,1.184129267765272,6,24.0,28.0,1
1889,4.190263271331787,0.09301459789276123,8.15839958190918,0.03609735518693924,0.08296593278646469,8.15839958190918,0.03609735518693924,0.0,0.8333500972326433,0.10999791563421547,1.556702278832738,6,24.0,28.0,1
1890,4.163553237915039,0.10650237649679184,8.094130516052246,0.019970905035734177,0.09603431820869446,8.094130516052246,0.019970905035734177,0.0,0.8296191379366129,0.10854798390127823,1.550690291973607,6,24.0,28.0,1
1891,4.18330717086792,0.08373387902975082,8.180052757263184,0.01909351535141468,0.0756169855594635,8.180052757263184,0.01909351535141468,0.0,0.883499127811513,0.11025731558271751,1.6567409400420756,6,24.0,28.0,1
1892,4.106476783752441,0.0723033994436264,8.047896385192871,0.020450877025723457,0.06440536677837372,8.047896385192871,0.020450877025723457,0.0,0.4903197673949677,0.11365777549797736,0.8669817592929387,6,24.0,28.0,1
1893,4.208490371704102,0.09366392344236374,8.194696426391602,0.03495672717690468,0.08445639908313751,8.194696426391602,0.03495672717690468,0.0,1.0725603549449454,0.11457147264369072,2.0305492372483456,6,24.0,28.0,1
1894,4.228610038757324,0.09827492386102676,8.229961395263672,0.03070894628763199,0.08781120181083679,8.229961395263672,0.03070894628763199,0.0,0.9679370957901614,0.11368677325954994,1.822187418322709,6,24.0,28.0,1
1895,4.141567230224609,0.08010775595903397,8.092960357666016,0.02995876781642437,0.07165315002202988,8.092960357666016,0.02995876781642437,0.0,0.863217360828622,0.1098939862440379,1.6165407354149328,6,24.0,28.0,1
1896,4.151078224182129,0.07963006943464279,8.116927146911621,0.025969453155994415,0.07126462459564209,8.116927146911621,0.025969453155994415,0.0,1.114956499875878,0.1082452700904787,2.121667729663508,6,24.0,28.0,1
1897,4.238362789154053,0.08337847888469696,8.29065990447998,0.019309181720018387,0.07535427808761597,8.29065990447998,0.019309181720018387,0.0,0.9102929812288554,0.1100502070677722,1.7105357553917593,6,24.0,28.0,1
1898,4.222949981689453,0.07813414931297302,8.267629623413086,0.02200249582529068,0.07001562416553497,8.267629623413086,0.02200249582529068,0.0,0.7960232778146966,0.10917102807059569,1.4828755275603898,6,24.0,28.0,1
1899,4.162841796875,0.07734055072069168,8.146018981933594,0.024983156472444534,0.06963399797677994,8.146018981933594,0.024983156472444534,0.0,0.8366428804665754,0.10729990875148616,1.565985852183338,6,24.0,28.0,1
1900,4.215318202972412,0.09524046629667282,8.215229034423828,0.024926574900746346,0.08561821281909943,8.215229034423828,0.024926574900746346,0.0,0.7806682874197796,0.10567849455082329,1.4556580802902972,6,24.0,28.0,1
1901,4.232583522796631,0.10333070158958435,8.243535041809082,0.014971032738685608,0.09446496516466141,8.243535041809082,0.014971032738685608,0.0,0.8584322229493375,0.10537082124416326,1.6114936246562288,6,24.0,28.0,1
1902,4.226984977722168,0.08864816278219223,8.25722599029541,0.01944746822118759,0.07994324713945389,8.25722599029541,0.01944746822118759,0.0,0.7960832938622099,0.10477310835002875,1.4873934793759833,6,24.0,28.0,1
1903,4.147060394287109,0.06529343873262405,8.149606704711914,0.013927722349762917,0.05899276211857796,8.149606704711914,0.013927722349762917,0.0,0.7745982561430586,0.10702333348725473,1.4421731788004117,6,24.0,28.0,1
1904,4.160158157348633,0.08391878753900528,8.119400978088379,0.03307797387242317,0.07558033615350723,8.119400978088379,0.03307797387242317,0.0,0.7900080134881784,0.10607013543526513,1.4739458915426717,6,24.0,28.0,1
1905,4.2008891105651855,0.08186333626508713,8.208990097045898,0.029061658307909966,0.07323981821537018,8.208990097045898,0.029061658307909966,0.0,1.0482829744597282,0.10549481582914283,1.99107113309241,6,24.0,28.0,1
1906,4.1981353759765625,0.09447240084409714,8.193641662597656,0.013683822937309742,0.08508184552192688,8.193641662597656,0.013683822937309742,0.0,0.9650519604059488,0.10599561123408797,1.8241083095797397,6,24.0,28.0,1
1907,4.142085552215576,0.07930120080709457,8.102483749389648,0.023085003718733788,0.07083021104335785,8.102483749389648,0.023085003718733788,0.0,0.9776726067128131,0.10589095480540246,1.8494542586221792,6,24.0,28.0,1
1908,4.181252479553223,0.10972307622432709,8.11153793334961,0.03152058646082878,0.09854752570390701,8.11153793334961,0.03152058646082878,0.0,0.7136058221001617,0.10531578609223086,1.3218958581095197,6,24.0,28.0,1
1909,4.169498920440674,0.08435682207345963,8.14742374420166,0.022860484197735786,0.07580012083053589,8.14742374420166,0.022860484197735786,0.0,0.526473697534975,0.104073948308768,0.948873446762235,6,24.0,28.0,1
1910,4.170882701873779,0.09217660129070282,8.133591651916504,0.02382127195596695,0.08351311832666397,8.133591651916504,0.02382127195596695,0.0,0.49766044570427076,0.1046278642858006,0.8906930271237363,6,24.0,28.0,1
1911,4.214102268218994,0.09239672869443893,8.22120189666748,0.02220931276679039,0.08275877684354782,8.22120189666748,0.02220931276679039,0.0,0.5141045388110902,0.10485677381264065,0.9233523038105681,6,24.0,28.0,1
