time_fs,mu_x_true,mu_x_pred,m_x_true,m_x_pred,is_train,is_val
4.3601,0.23063022,0.23020454,4.295338e-05,3.823768e-05,0,0
4.3801003,0.23078544,0.23037226,5.9138325e-05,5.4239637e-05,0,0
4.4001007,0.23111373,0.23071334,7.46566e-05,7.017945e-05,0,0
4.420101,0.23161061,0.2312223,8.891953e-05,8.536369e-05,0,0
4.4401016,0.23226981,0.2318909,0.000101571604,9.906867e-05,0,0
4.460102,0.23308241,0.23270856,0.00011242835,0.00011076213,0,0
4.4801025,0.23403563,0.2336624,0.00012142052,0.00012017541,0,0
4.500103,0.2351122,0.23473692,0.00012843739,0.00012726693,0,0
4.5201035,0.23629074,0.2359131,0.00013325289,0.0001320707,0,0
4.540104,0.23754628,0.23716809,0.00013565533,0.00013454347,0,0
4.5601044,0.23885168,0.2384754,0.0001354984,0.00013457086,0,0
4.580105,0.2401796,0.2398059,0.00013269953,0.00013203679,0,0
4.6001053,0.24150364,0.24112979,0.00012730288,0.00012687316,0,0
4.6201057,0.24279837,0.24241847,0.00011936297,0.00011912416,0,0
4.640106,0.24403961,0.24364603,0.0001088751,0.00010890328,0,0
4.6601067,0.24520409,0.24478969,9.602054e-05,9.6303855e-05,0,0
4.680107,0.24626873,0.24582982,8.1179314e-05,8.150581e-05,0,0
4.7001076,0.2472108,0.24674915,6.4711676e-05,6.4873835e-05,0,0
4.720108,0.24800952,0.24753204,4.703232e-05,4.6857676e-05,0,0
4.7401085,0.24864747,0.24816416,2.8596829e-05,2.7950906e-05,0,0
4.760109,0.24911053,0.2486328,9.669347e-06,8.669278e-06,0,0
4.7801094,0.24938834,0.24892727,-9.627745e-06,-1.0607636e-05,0,0
4.80011,0.24947521,0.24903923,-2.9126948e-05,-2.9701641e-05,0,0
4.8201103,0.24937037,0.24896346,-4.851058e-05,-4.8521113e-05,0,0
4.840111,0.24907708,0.24869849,-6.724369e-05,-6.689393e-05,0,0
4.860111,0.24860182,0.24824706,-8.4699415e-05,-8.442943e-05,0,0
4.8801117,0.24795303,0.2476161,-0.00010033255,-0.00010054195,0,0
4.900112,0.24714097,0.24681619,-0.000113692564,-0.0001146131,0,0
4.9201126,0.24617893,0.24586093,-0.00012445576,-0.00012611107,0,0
4.940113,0.24508369,0.24476673,-0.00013251058,-0.00013466178,0,0
4.9601135,0.24387558,0.24355291,-0.00013795334,-0.00014012637,0,0
4.980114,0.24257892,0.24224213,-0.00014095602,-0.00014262908,0,0
5.0001144,0.24122158,0.24086064,-0.00014157452,-0.00014246936,0,0
5.020115,0.23983292,0.23943828,-0.00013973222,-0.00013992301,0,0
5.0401154,0.23844196,0.23800734,-0.00013541427,-0.00013511046,0,0
5.060116,0.23707664,0.23660083,-0.00012869947,-0.00012807267,0,0
5.0801163,0.23576415,0.23525059,-0.00011969471,-0.00011887534,0,0
5.1001167,0.23453094,0.23398615,-0.000108727574,-0.00010762812,0,0
5.120117,0.23340248,0.23283416,-9.6385265e-05,-9.4606556e-05,0,0
5.1401176,0.23240255,0.23181821,-8.32073e-05,-8.035403e-05,0,0
5.160118,0.23155285,0.2309588,-6.9653e-05,-6.552232e-05,0,0
5.1801186,0.23087247,0.23027319,-5.61127e-05,-5.0716142e-05,0,0
5.200119,0.23037753,0.2297753,-4.2579537e-05,-3.6423102e-05,0,0
5.2201195,0.23007996,0.22947572,-2.8733642e-05,-2.2784712e-05,0,0
5.24012,0.2299862,0.22938155,-1.4487282e-05,-9.518792e-06,0,0
5.2601204,0.23009719,0.2294957,-1.036495e-07,3.7211776e-06,0,0
5.280121,0.23041001,0.22981657,1.4066657e-05,1.6997896e-05,0,0
5.3001213,0.23091884,0.23033795,2.7696442e-05,3.0090168e-05,0,0
5.320122,0.2316143,0.23104961,4.0476407e-05,4.264112e-05,0,0
5.340122,0.23248318,0.23193763,5.2245956e-05,5.4268105e-05,0,0
5.3601227,0.233509,0.23298438,6.3070234e-05,6.470312e-05,0,0
5.380123,0.23467197,0.23416862,7.2997354e-05,7.3916075e-05,0,0
5.4001236,0.23594853,0.2354657,8.189344e-05,8.2010716e-05,0,0
5.420124,0.2373121,0.23684777,8.9618945e-05,8.901391e-05,0,0
5.4401245,0.23873399,0.23828444,9.605466e-05,9.486251e-05,0,0
5.460125,0.240184,0.23974389,0.00010095762,9.945279e-05,0,0
5.4801254,0.24163085,0.24119417,0.00010411608,0.00010258719,0,0
5.500126,0.24304336,0.24260437,0.00010550194,0.00010403294,0,0
5.5201263,0.24439159,0.2439454,0.00010502,0.00010367383,0,0
5.540127,0.24564777,0.2451908,0.000102510174,0.00010143989,0,0
5.5601273,0.24678664,0.24631728,9.820335e-05,9.722974e-05,0,0
5.5801277,0.24778539,0.24730478,9.26316e-05,9.116678e-05,0,0
5.600128,0.24862267,0.24813625,8.616348e-05,8.372725e-05,0,0
5.6201286,0.24927795,0.248797,7.913095e-05,7.54684e-05,0,0
5.640129,0.249733,0.24927376,7.196192e-05,6.689253e-05,0,0
5.6601295,0.24997388,0.24955444,6.4919535e-05,5.8488637e-05,0,0
5.68013,0.24999161,0.24962832,5.8112568e-05,5.0620474e-05,0,0
5.7001305,0.24978241,0.24948706,5.155813e-05,4.3455275e-05,0,0
5.720131,0.24934821,0.24912547,4.5104312e-05,3.6985177e-05,0,0
5.7401314,0.24869642,0.24854273,3.8680937e-05,3.101289e-05,0,0
5.760132,0.24783877,0.24774335,3.2522315e-05,2.5311161e-05,0,0
5.7801323,0.24679083,0.24673784,2.6947448e-05,1.9882506e-05,0,0
5.8001328,0.24557172,0.24554281,2.2105452e-05,1.4960902e-05,0,0
